,id,text,text_compound,text_pos,text_neu,text_neg,text_sent
0,2022-04-14 20:44:44,RT cctvidiots Old but gold  httpstco3evtNrt1y,0.0,0.0,1.0,0.0,0
1,2022-04-14 20:44:43,RT adamslawes AnnastaciaMP To AnnastaciaMP part one three thankyou creating Australias first100 electric bus depot the,0.296,0.128,0.872,0.0,1
2,2022-04-14 20:44:43,httpstco41JJVJQBd,0.0,0.0,1.0,0.0,0
3,2022-04-14 20:44:43,RT shibainugold  Airdrop Shiba Inu Gold SHIBG  Per participant 4000000000 SHIBG  Referral 3800000000 SHIBG  End date,0.0,0.0,1.0,0.0,0
4,2022-04-14 20:44:42,RT kanbanka1000 Lio Bye FriendBADHOPGold diggaPRODUCE   ,0.0,0.0,1.0,0.0,0
5,2022-04-14 20:44:41,LadyGoldcom My new video Deine Belohnung  sold   httpstcoISGFMAHgo6  via CMSStars,0.0,0.0,1.0,0.0,0
6,2022-04-14 20:44:41,RT bieberrauhl vendo il biglietto dei maneskin al circo massimo prezzo 60 euro settore pit1  gold circle vendobiglietti,0.0,0.0,1.0,0.0,0
7,2022-04-14 20:44:41,apefollowsape AzukiApeSC I super excited see first sneak peek  but traits look off The mouths dont look like fit Even gold teeth completely different Not sure intention but looks rushed Just opinion httpstcoMNcoiv4jdf,-0.6147,0.106,0.687,0.208,-1
8,2022-04-14 20:44:41,RT gsplating N Nickel Nickel Plating Solution plays important role electroforming plating nonconductive surfaces pro,0.6249,0.357,0.643,0.0,1
9,2022-04-14 20:44:40,LadyGoldcom Neuer  clip Lieblingsstrumpfhose verkauft   httpstcowfFRTc4k7K  via CMSStars,0.0,0.0,1.0,0.0,0
10,2022-04-14 20:44:40,RT RadioChinar He says If Kashmir produce many international players gold medallists like Umran Malik Abdul Samad Parvaiz,0.3612,0.128,0.872,0.0,1
11,2022-04-14 20:44:39,RT jerichorose38      paper gold black philodendron httpstcolVzrz97Afn,0.0,0.0,1.0,0.0,0
12,2022-04-14 20:44:38,LATEST Alasdair Gold Spurs set sign dangerous talent 70m deal Conte surely buzzing  opinion THFC httpstco7O9lnwfqRp,0.3818,0.261,0.596,0.142,1
13,2022-04-14 20:44:37,RT Riquezacakes Would u believe12inches cakes baked decorated within 5hrs Oh yesi always come customers,0.0,0.0,1.0,0.0,0
14,2022-04-14 20:44:37,KidGulag yep yep listening black gold radio edit sam sparro thought wow great song must go uni sheffield watch hallam get battered varsity,0.9062,0.393,0.607,0.0,1
15,2022-04-14 20:44:37,Check Gorgeous 25 Ct Heart Cut Red Ruby amp Diamond Womens Ring14K White Gold Finish httpstco85Rc2TCp1 via eBay,0.6486,0.272,0.638,0.089,1
16,2022-04-14 20:44:36,namuroll Omfg im gna kms switch like I CLEARLY SAW WHITE AND GOLD,0.7125,0.372,0.628,0.0,1
17,2022-04-14 20:44:36,DropYourNFT httpstco43cHCP1ty1Great design 2Great community 3Great TreasureHunt NFT Web httpstcou2BrxBCUsE Discord httpstcoKJ8VPZU8Lt Twitter undeadgold Telegram httpstco6CLIR7XPrm btc NFT  EGLD ,-0.4019,0.0,0.87,0.13,-1
18,2022-04-14 20:44:36,Love gold httpstcocRZMxz7F1,0.6369,0.677,0.323,0.0,1
19,2022-04-14 20:44:35,goldrush grazieee ,0.0,0.0,1.0,0.0,0
20,2022-04-14 20:44:33,RT RWJJMJ Noritake M Hand Painted Plate With Gold Gilt Edges httpstcoEkN6XimJuv via Etsy,0.4939,0.211,0.789,0.0,1
21,2022-04-14 20:44:32,RT taranadarsh NEW 2SCREEN MULTIPLEX OPENS IN REWA MP A new 2screen multiplex  Samdareeya Cinema Gold  opens Rewa MadhyaPr,0.0,0.0,1.0,0.0,0
22,2022-04-14 20:44:32,RT hellenhellen5 Gold surpassed tourism coffee become Ugandas biggest earner foreign currency amidst concerns over so,0.0,0.0,1.0,0.0,0
23,2022-04-14 20:44:32,zlobezumie old but gold httpstcoSp1ubJKFd,0.0,0.0,1.0,0.0,0
24,2022-04-14 20:44:32,GoldApparels bitchesloveayo Apt I gave one Uber driver1 star trying converse early hours morning way airport For Christ sake its 5am I wanted meditating but guy kept bring something even saw I wasnt replying,0.0,0.0,1.0,0.0,0
