,id,text,text_compound,text_pos,text_neu,text_neg,text_sent
0,2022-04-14 21:47:36,Malem ini gabakal ada apa apa kan Mo tidur ,0.0,0.0,1.0,0.0,0
1,2022-04-14 21:47:36,SamIrving uwumetawin Makanya gen z lbh milih mental health drpd kerja stress buat healing aja ga ada duit,-0.4215,0.0,0.851,0.149,-1
2,2022-04-14 21:47:36,Ada yg minta dikasih cr  httpstcoqaXLlkC0bU,0.0,0.0,1.0,0.0,0
3,2022-04-14 21:47:36,RT MydinMalaysia kerusi hitam takda oren je ada harga asal RM50k min bagi promosi RM2090 je httpstcoHEcHfenpqm,0.0,0.0,1.0,0.0,0
4,2022-04-14 21:47:36,kochengfess nder saranku keep dulu sambil tanya dan post di sosmed ttg miukarena tktnya ada org jahat yg malah nyulik miu klo diliarinsambil diliat ya nder kira2 ada ga org yg kecarian kucing dkt lingkunganmu,0.0,0.0,1.0,0.0,0
5,2022-04-14 21:47:36,RT AnggaPutraF Kalau ada acara kayak gini di tv kita sekarang pilihannya antara yang punya dipanggil atau artisnya dipanggil httpst,0.0,0.0,1.0,0.0,0
6,2022-04-14 21:47:36,pxcery helloo lets check layout catalogue ada banyak layout yang gemesgemes dan pastinya murah harga start 7K12K ajaa pengerjaannya juga cepet kayak buroq    Shopeepay Dana Qris httpstco54ZeNWVBT5,0.0,0.0,1.0,0.0,0
7,2022-04-14 21:47:36,kdramamenfess Ihhh emergency declaration ada di legal gk sih  nyari2 nih film susah betul,-0.2732,0.093,0.745,0.161,-1
8,2022-04-14 21:47:36,RT BayarindID Siapsiap buat dapetin JBL GO amp voucher Tokopedia total 300rb Coba temukan ada berapa kata PULSA pada gambar berikut,0.0,0.0,1.0,0.0,0
9,2022-04-14 21:47:35,JAJANCITYbase aku belum ada wl hehe,0.0,0.0,1.0,0.0,0
10,2022-04-14 21:47:35,urasteroidss Ka aku ada lenti jisung scratch ready ina dom tangsel 70k inc safety packaging,0.6486,0.29,0.71,0.0,1
11,2022-04-14 21:47:35,ArwaniAbib detikcom Cluenya jelas banget mahasiswa punya jas masing masing gak perlu ada bagi bagi ditempat demo httpstco3Q5jWXlbCO,0.0,0.0,1.0,0.0,0
12,2022-04-14 21:47:35,saddriri Laaaa keramat Dekat gila dengan i Hahahahahaha 2 tahun lepas selalu lepak au2 Eh sana ada restoran nasi kerabu kan Nanti dm u nanti sekarang busy ulang alik danau ,0.0,0.0,1.0,0.0,0
13,2022-04-14 21:47:35,RT caratstalk17s Ada banyak teori nih dr teaser kemaren nah sender ngerasa teori yg mendekati bener tuh teori peterpan Dr setiap sce,-0.34,0.0,0.855,0.145,-1
14,2022-04-14 21:47:35,jogjamnfs ewh apa mbaknya nggak ada rasa nggak enak atau malu ya mintaminta begitu  sumpah kok bisa enteng banget minta dibeliin ke orang lain  yodah mas kalo dah nggak sanggup disudahi aja daripada makan ati tiap hari ,0.0,0.0,1.0,0.0,0
15,2022-04-14 21:47:35,RT MediaPolDenbar Ambil Sumpah Dan Tanda Tangani Pakta Integritas Waka Polda Bali Tegaskan Tidak Ada Calo Dalam Penerimaan Polri https,0.0,0.0,1.0,0.0,0
16,2022-04-14 21:47:35,RT aswaliaaa It happen me Drive rilek2 tetiba ada budak willy depan kereta ko terlanggar tapi kita yang masuk penjara Un,0.0,0.0,1.0,0.0,0
17,2022-04-14 21:47:35,RT Renjun323ID OP bilang kalau Renjun ada makan bersama pada hari ulang tahunnya setelah mereka selesai syuting Lalu OP bertanya Apa,0.0,0.0,1.0,0.0,0
18,2022-04-14 21:47:35,2022014 064734  Close short  0955  ADA cardano short algotrade stewiebot,0.0,0.0,1.0,0.0,0
19,2022-04-14 21:47:35,Bolehlah merasa sakit hati karena itu manusiawi Rapi cobalah tidak dendam biar kelak tidak ada rasa sungkan  httpstcoSLi5Fzlxsc,0.0,0.0,1.0,0.0,0
20,2022-04-14 21:47:35,ss masih ada yang nyari po album fanclub yuk sini last jam 7 yaa httpstco1JeQivbX2 httpstco23m2J7xMha,-0.5574,0.0,0.795,0.205,-1
21,2022-04-14 21:47:35,pieqahhh Ada anak ikan je Bukan fav kau ke anak2 ikan ni Apa tunggu lagi,0.4588,0.176,0.824,0.0,1
22,2022-04-14 21:47:35,Pulanglah Ada yang rindu dan menunggu,0.0,0.0,1.0,0.0,0
